"strategy","time","strategy_value_index","growth_rate","regime_shift","shock"
"Aggressive Growth Strategy",39,143.768298291707,5.61101397947256,0,3.53766247285844
"Aggressive Growth Strategy",40,147.558144852775,2.63607944595538,0,0.359921489585225
"Balanced Adaptive Strategy",1,104.822622584872,4.82262258487226,2.1,0.115841423051282
"Balanced Adaptive Strategy",2,113.697179796672,8.46626137846785,1,4.99090113451642
"Balanced Adaptive Strategy",3,118.736846590634,4.43253456503897,1,1.03946024009538
"Balanced Adaptive Strategy",4,125.540462465868,5.72999542314818,2.1,0.508121193154044
"Balanced Adaptive Strategy",5,127.610161038902,1.6486306744298,1,-2.55888528484888
"Balanced Adaptive Strategy",6,131.443639924343,3.0040545785948,2.1,-1.36138625285734
"Balanced Adaptive Strategy",7,132.704888639392,0.959535749142787,1,-2.69590659274693
"Balanced Adaptive Strategy",8,134.41319614514,1.28729809674931,2.1,-3.67771382421224
"Balanced Adaptive Strategy",9,138.46512024948,3.01452849909579,0,0.417463048099628
"Balanced Adaptive Strategy",10,140.417576504744,1.41007081909575,1,-2.6909256641869
"Balanced Adaptive Strategy",11,142.146834599675,1.23151113840227,1,-2.38593762689329
"Balanced Adaptive Strategy",12,144.684603301273,1.78531495882064,2.1,-3.30681946597196
"Balanced Adaptive Strategy",13,143.191394366989,-1.03204411541583,-1.2,-3.12833993814891
"Balanced Adaptive Strategy",14,152.533457941406,6.52417948419041,0,3.03180203712591
"Balanced Adaptive Strategy",15,159.922417783895,4.8441567785912,0,2.13404800275012
"Balanced Adaptive Strategy",16,163.907751099957,2.49204168576762,1,-1.26826986752901
"Balanced Adaptive Strategy",17,163.568028829923,-0.207264310415128,1,-4.4439306089587
"Balanced Adaptive Strategy",18,167.417112583409,2.35320054965551,0,-0.079501173538243
"Balanced Adaptive Strategy",19,178.160805192003,6.41732045357139,2.1,1.66856122721476
"Balanced Adaptive Strategy",20,185.507595093207,4.12368472026509,0,1.88152895669068
"Balanced Adaptive Strategy",21,192.037069554355,3.51978821021715,1,-0.376363018111085
"Balanced Adaptive Strategy",22,190.173936426647,-0.970194521313575,-2.8,-0.738843393710018
"Balanced Adaptive Strategy",23,205.00607838422,7.79925064194788,0,5.50851346816708
"Balanced Adaptive Strategy",24,203.543311072778,-0.713523873521645,-2.8,-1.44042929086618
"Balanced Adaptive Strategy",25,209.53906659504,2.94569027626669,1,-0.727618797754254
"Balanced Adaptive Strategy",26,208.357692784661,-0.563796445968847,-2.8,-0.979393722195465
"Balanced Adaptive Strategy",27,192.587300470587,-7.5689033139625,-2.8,-7.62236249905428
"Balanced Adaptive Strategy",28,200.829031056135,4.27947770460941,1,0.229224758431916
"Balanced Adaptive Strategy",29,200.535886270152,-0.145967335718891,1,-3.60482777588695
"Balanced Adaptive Strategy",30,216.47754190403,7.94952760345447,0,4.56153908754611
"Balanced Adaptive Strategy",31,225.520136195104,4.17715122388189,1,0.519831268929203
"Balanced Adaptive Strategy",32,237.113209941432,5.14059362588293,1,1.30462343229987
"Balanced Adaptive Strategy",33,244.865292193009,3.26935907682734,-1.2,1.05868666273406
"Balanced Adaptive Strategy",34,250.308462537917,2.22292440719517,-1.2,0.795566717242692
"Balanced Adaptive Strategy",35,253.646760202236,1.33367351246208,0,-1.2474508853196
"Balanced Adaptive Strategy",36,247.410767157632,-2.45853447512268,-2.8,-2.25802780056382
"Balanced Adaptive Strategy",37,250.603757929118,1.29056257662846,-1.2,-0.202601683169897
"Balanced Adaptive Strategy",38,252.862823323319,0.901449129442052,2.1,-3.49380665680829
"Balanced Adaptive Strategy",39,265.452861088386,4.97899912671959,2.1,0.167888370042942
"Balanced Adaptive Strategy",40,288.200021972655,8.56919032290819,1,4.90111680461567
"Defensive Resilience Strategy",1,102.783165044354,2.78316504435389,0,0.0630660808902093
"Defensive Resilience Strategy",2,108.927508120379,5.97796640468711,0,3.91312456036868
"Defensive Resilience Strategy",3,111.883250142286,2.71349457351023,0,0.391155193536516
"Defensive Resilience Strategy",4,112.790157043361,0.810583264180662,0,-1.22691307397073
"Defensive Resilience Strategy",5,115.765777239404,2.6381913759541,0,-0.0821474769916141
"Defensive Resilience Strategy",6,118.600682235237,2.44882819727522,0,-0.159805390960603
"Defensive Resilience Strategy",7,123.035100266152,3.7389481639906,1,0.217238777852351
"Defensive Resilience Strategy",8,125.182111830711,1.74503987879487,0,-0.412357399174997
"Defensive Resilience Strategy",9,130.23345691423,4.03519720960606,-1.2,2.6867388494705
"Defensive Resilience Strategy",10,131.772767715458,1.18196263671425,1,-2.02944928130562
"Defensive Resilience Strategy",11,135.726006980234,3.00004267445641,1,-0.496842070102072
"Defensive Resilience Strategy",12,139.503567320346,2.78322513434196,1,-1.25115650906136
"Defensive Resilience Strategy",13,139.708717845695,0.14705754791043,1,-2.68182521516801
"Defensive Resilience Strategy",14,140.549818271402,0.602038611961358,-1.2,-0.885620583113454
"Defensive Resilience Strategy",15,137.897139142207,-1.88735863327311,1,-5.66497146223003
"Defensive Resilience Strategy",16,143.314745513928,3.92873007041436,1,0.464029117096556
"Defensive Resilience Strategy",17,147.466568095929,2.8969960956298,0,0.369260777051025
"Defensive Resilience Strategy",18,155.066936210188,5.15396012289041,1,2.37284100873918
"Defensive Resilience Strategy",19,154.315414746921,-0.484643265440257,-2.8,-0.0754223966813997
"Defensive Resilience Strategy",20,159.19749584058,3.16370279771846,0,1.3368547797167
"Defensive Resilience Strategy",21,160.15407837362,0.600877876871628,0,-1.76003317890373
"Defensive Resilience Strategy",22,168.167513157694,5.00357834496123,2.1,0.361036097263521
"Defensive Resilience Strategy",23,174.440531712819,3.73022020563633,0,1.39473421524428
"Defensive Resilience Strategy",24,177.031001056269,1.48501573459704,1,-1.9334326276696
"Defensive Resilience Strategy",25,189.897828486294,7.26812103713737,2.1,2.85113772022412
"Defensive Resilience Strategy",26,185.208148031406,-2.46958087528983,-1.2,-3.51795575982818
"Defensive Resilience Strategy",27,191.12177710996,3.19296377692341,2.1,-1.40915526268103
"Defensive Resilience Strategy",28,185.592070519806,-2.89328964693137,0,-5.12986663627103
"Defensive Resilience Strategy",29,193.822214510827,4.43453428154034,-1.2,3.35634039218692
"Defensive Resilience Strategy",30,203.741346829639,5.11764471572337,2.1,0.819974208450664
"Defensive Resilience Strategy",31,198.575202060286,-2.53563886257835,-2.8,-1.60452718578294
"Defensive Resilience Strategy",32,209.679470297722,5.5919712644003,0,2.62499336713251
"Defensive Resilience Strategy",33,214.892294576551,2.48609187700993,2.1,-1.560897862518
