"strategy","time","strategy_value_index","growth_rate","regime_shift","structural_shock"
"Defensive Resilience Strategy",6,119.537233860089,2.61301354620133,0,-0.159805390960603
"Defensive Resilience Strategy",7,124.072533215535,3.79404743525639,1,0.217238777852351
"Defensive Resilience Strategy",8,126.309530200212,1.80297518451693,0,-0.412357399174997
"Defensive Resilience Strategy",9,131.903932768734,4.42912150781799,-1,2.6867388494705
"Defensive Resilience Strategy",10,133.673830304707,1.34180801043791,1,-2.02944928130562
"Defensive Resilience Strategy",11,137.896212600118,3.15872021156705,1,-0.496842070102072
"Defensive Resilience Strategy",12,142.011333374268,2.98421595238706,1,-1.25115650906136
"Defensive Resilience Strategy",13,142.29560892967,0.200178076388606,1,-2.68182521516801
"Defensive Resilience Strategy",14,143.594665311471,0.912927947371096,-1,-0.885620583113454
"Defensive Resilience Strategy",15,141.187949203133,-1.67604841246532,1,-5.66497146223003
"Defensive Resilience Strategy",16,146.835284025972,3.99987028263543,1,0.464029117096556
"Defensive Resilience Strategy",17,151.182772507245,2.96079277546371,0,0.369260777051025
"Defensive Resilience Strategy",18,159.057921339719,5.20902527574507,1,2.37284100873918
"Defensive Resilience Strategy",19,158.947041400079,-0.0697104166244507,-2.5,-0.0754223966813997
"Defensive Resilience Strategy",20,164.086633533269,3.23352488219843,0,1.3368547797167
"Defensive Resilience Strategy",21,165.377797808708,0.786879618185003,0,-1.76003317890373
"Defensive Resilience Strategy",22,173.822126070564,5.1060833883058,2,0.361036097263521
"Defensive Resilience Strategy",23,180.471156278433,3.82519208467715,0,1.39473421524428
"Defensive Resilience Strategy",24,183.337311772358,1.58815156561782,1,-1.9334326276696
"Defensive Resilience Strategy",25,196.594398936221,7.23098153654826,2,2.85113772022412
"Defensive Resilience Strategy",26,192.380483561512,-2.14345647562222,-1,-3.51795575982818
"Defensive Resilience Strategy",27,198.631662774059,3.24938325178313,2,-1.40915526268103
"Defensive Resilience Strategy",28,193.151585294235,-2.75891436606311,0,-5.12986663627103
"Defensive Resilience Strategy",29,202.241201019686,4.70594932555375,-1,3.35634039218692
"Defensive Resilience Strategy",30,212.595743564464,5.11989767296219,2,0.819974208450664
"Defensive Resilience Strategy",31,207.980533040849,-2.17088566602223,-2.5,-1.60452718578294
"Defensive Resilience Strategy",32,220.025547086234,5.79141416231428,0,2.62499336713251
"Defensive Resilience Strategy",33,225.37894190513,2.43307874462309,2,-1.560897862518
"Defensive Resilience Strategy",34,236.717988889168,5.03110312267388,1,1.2074762528501
"Defensive Resilience Strategy",35,235.111598697083,-0.678609259745308,-1,-1.57249261982945
"Defensive Resilience Strategy",36,229.777459756203,-2.26876894650882,-1,-4.01508021836536
"Defensive Resilience Strategy",37,241.586746258309,5.13944514602766,0,2.66357996873901
"Defensive Resilience Strategy",38,260.742340621775,7.92907502590592,1,4.20290541263676
"Defensive Resilience Strategy",39,276.736460977577,6.1340710210938,1,1.84079656952507
"Defensive Resilience Strategy",40,285.971401262733,3.33708838095736,1,0.184946921885356
"Staged Optionality Strategy",1,102.567121183368,2.56712118336784,1,-1.37915851062311
"Staged Optionality Strategy",2,108.627855779,5.9090423185386,1,1.76417313987466
"Staged Optionality Strategy",3,113.395094504599,4.38859691320617,1,0.148346182537973
"Staged Optionality Strategy",4,110.647107604913,-2.42337370209168,-2.5,-2.9913491952769
"Staged Optionality Strategy",5,115.974729622552,4.81496727113948,1,0.521986793702107
"Staged Optionality Strategy",6,117.120838879883,0.988240508136238,-1,-1.51375668952997
"Staged Optionality Strategy",7,119.701897377313,2.20375683961538,1,-1.69055779815549
"Staged Optionality Strategy",8,119.564473228159,-0.114805322359677,-1,-2.96811416426244
"Staged Optionality Strategy",9,121.737408646188,1.81737547898773,1,-2.87078304240838
"Staged Optionality Strategy",10,125.579113905331,3.15573109520333,-1,-0.000577605327460744
"Staged Optionality Strategy",11,135.074900985535,7.56159745430507,0,4.06649904092707
"Staged Optionality Strategy",12,137.824561643426,2.03565624540856,1,-2.00449393273613
"Staged Optionality Strategy",13,149.61960698464,8.55801404377347,2,3.09046909693996
"Staged Optionality Strategy",14,158.449791073715,5.90175597104795,2,0.366633856194947
"Staged Optionality Strategy",15,167.385415286839,5.6394042255107,1,1.86011667003218
"Staged Optionality Strategy",16,169.054055233636,0.996884910156558,0,-1.84414878018705
"Staged Optionality Strategy",17,181.788687646729,7.53287603511975,1,2.80327145357184
"Staged Optionality Strategy",18,187.042265641148,2.88993669651677,2,-2.67331147995083
"Staged Optionality Strategy",19,186.269292047636,-0.413261457704326,-1,-2.7849162690801
"Staged Optionality Strategy",20,191.793280659812,2.96559274556302,-1,0.209565813347698
"Staged Optionality Strategy",21,202.786865043177,5.73199662967576,2,0.03034854335236
"Staged Optionality Strategy",22,202.630460906651,-0.0771273506758765,-1,-2.09262448799331
"Staged Optionality Strategy",23,219.926615236857,8.53581157187168,2,2.78550700020213
"Staged Optionality Strategy",24,222.15468778912,1.01309818725816,-1,-0.698946501070005
"Staged Optionality Strategy",25,230.302411327992,3.6675901913024,0,0.76541737942355
"Staged Optionality Strategy",26,240.409956113823,4.38881413683332,2,-0.807146901622975
"Staged Optionality Strategy",27,261.214889461934,8.65393999667004,1,4.15558916832883
"Staged Optionality Strategy",28,270.76750930177,3.65699668174089,1,-0.995578321698673
"Staged Optionality Strategy",29,276.3198149337,2.05058045784287,-2.5,0.447559631288017
"Staged Optionality Strategy",30,278.457554077959,0.773646705275627,1,-3.9469332858089
"Staged Optionality Strategy",31,276.385899912626,-0.74397484822869,0,-3.25309819284565
"Staged Optionality Strategy",32,288.797030661156,4.49050792839045,0,0.321286359430684
"Staged Optionality Strategy",33,292.998327183575,1.45475752046388,-2.5,1.30163496964202
"Staged Optionality Strategy",34,308.996010580822,5.45999137640938,-1,3.3324521729863
"Staged Optionality Strategy",35,311.580770577694,0.836502708243249,1,-3.10821505872063
"Staged Optionality Strategy",36,334.126727925526,7.23599126673615,0,3.35383058595782
"Staged Optionality Strategy",37,343.144512598,2.6989114963841,-1,0.963447011683169
"Staged Optionality Strategy",38,348.073587777329,1.43644295577122,0,-1.31888860300022
"Staged Optionality Strategy",39,361.668748180258,3.90582936491752,2,-0.700505590760803
"Staged Optionality Strategy",40,371.790203488531,2.7985429648538,0,-0.613458372853244
"Modular No-Regrets Strategy",1,103.097914141217,3.09791414121737,-2.5,2.69035880083091
"Modular No-Regrets Strategy",2,105.902737375583,2.72054314360195,0,0.10304051770303
"Modular No-Regrets Strategy",3,112.393825210233,6.1292918346664,0,2.95958657458472
"Modular No-Regrets Strategy",4,117.4170188567,4.46927901694883,-1,3.10136878585076
"Modular No-Regrets Strategy",5,120.691296478769,2.78858861683825,0,0.779981377045199
"Modular No-Regrets Strategy",6,118.431080278644,-1.87272509788853,-2.5,-1.57612022776381
"Modular No-Regrets Strategy",7,121.096511903091,2.25061834965612,0,-0.517385935191873
"Modular No-Regrets Strategy",8,121.853503218334,0.62511405435757,-1,-1.32703816613515
"Modular No-Regrets Strategy",9,130.113759121512,6.77884154744209,2,1.81996536199232
"Modular No-Regrets Strategy",10,132.324721767826,1.69925353109609,0,-1.24691906688962
"Modular No-Regrets Strategy",11,139.510699129124,5.43056298573354,1,1.51462975458793
"Modular No-Regrets Strategy",12,144.309115201561,3.43946098929298,0,0.32047713314908
"Modular No-Regrets Strategy",13,145.547032705972,0.8578235010885,-2.5,0.963194516786684
"Modular No-Regrets Strategy",14,147.681088525088,1.46623107282873,2,-3.2464675404368
"Modular No-Regrets Strategy",15,158.765911729201,7.50591921742925,2,2.36971947566525
"Modular No-Regrets Strategy",16,158.605612705964,-0.100965642744895,-1,-2.48146589597197
"Modular No-Regrets Strategy",17,162.502012728503,2.45665960747739,-2.5,1.45166611598329
"Modular No-Regrets Strategy",18,165.152693714884,1.63116809562826,0,-1.82136748684524
"Modular No-Regrets Strategy",19,169.039332471506,2.35336080156927,0,-0.269038346524266
"Modular No-Regrets Strategy",20,169.287692401261,0.146924343656622,-2.5,-0.584940474915444
"Modular No-Regrets Strategy",21,166.944011428072,-1.38443671831377,0,-3.75440374830021
"Modular No-Regrets Strategy",22,165.707282413207,-0.740804659170625,-2.5,-0.847281705369768
"Modular No-Regrets Strategy",23,171.623766328293,3.57044290928194,1,-0.938271925197678
"Modular No-Regrets Strategy",24,189.619830871599,10.4857648380014,2,6.22831727664981
"Modular No-Regrets Strategy",25,206.558870228703,8.93315814028693,2,4.39909075682483
"Modular No-Regrets Strategy",26,211.027197409462,2.16322212442962,2,-2.27445779786239
"Modular No-Regrets Strategy",27,227.926476133441,8.0081046099423,1,3.45833364577941
